# 
   Systems 
 Stoichiometry 
 Ref. 

 1   H2O2  H2O    -1 2    4.974
 2   H2O3  H2O    -1 3    15.708
 3   H2O4  H2O    -1 4    27.353
 4   H2O5  H2O    -1 5    35.879
 5   H2O6  H2O    -1 6    45.988
 6   H2O6c  H2O    -1 6    45.733
 7   H2O6b  H2O    -1 6    45.292
 8   H2O6c2  H2O    -1 6    44.296
 9   H2O8d2d  H2O    -1 8    72.490
 10   H2O8s4  H2O    -1 8    72.454
 11   H2O20  H2O    -1  20    197.804
 12   H2O20fc  H2O    -1  20    207.534
 13   H2O20fs  H2O    -1  20    207.763
 14   H2O20es  H2O    -1  20    209.081
 15   H3OpH2O  H3Op  H2O   -1 1 1   33.738
 16   H3OpH2O2  H3Op  H2O   -1 1 2   57.114
 17   H3OpH2O3  H3Op  H2O   -1 1 3   76.755
 18   H3OpH2O63d  H3Op  H2O   -1 1 6   117.683
 19   H3OpH2O62d  H3Op  H2O   -1 1 6   114.819
 20   OHmH2O  OHm  H2O   -1 1 1   26.687
 21   OHmH2O2  OHm  H2O   -1 1 2   48.688
 22   OHmH2O3  OHm  H2O   -1 1 3   67.525
 23   OHmH2O4c4  OHm  H2O   -1 1 4   84.351
 24   OHmH2O4cs  OHm  H2O   -1 1 4   85.015
 25   OHmH2O5  OHm  H2O   -1 1 5   100.782
 26   OHmH2O6  OHm  H2O   -1 1 6   115.672
 27   H3OpH2O6OHm  H2O8s4   1  -1    29.605



